,Time,BidPrice,AskPrice,BidSize,AskSize,BidPastLow,AskPastHigh
0,20230802-19:40:53,129.69,129.7,200,200,False,False
1,20230802-19:40:53,129.68,129.7,1800,200,False,False
2,20230802-19:40:53,129.69,129.7,100,100,False,False
3,20230802-19:40:53,129.68,129.7,2500,100,False,False
4,20230802-19:40:53,129.69,129.71,600,2100,False,False
5,20230802-19:40:54,129.69,129.7,200,100,False,False
6,20230802-19:40:54,129.69,129.71,300,1900,False,False
7,20230802-19:40:54,129.69,129.7,800,100,False,False
8,20230802-19:40:54,129.69,129.71,1300,2100,False,False
9,20230802-19:40:54,129.69,129.7,100,100,False,False
10,20230802-19:40:54,129.68,129.7,1800,400,False,False
11,20230802-19:40:54,129.69,129.7,400,100,False,False
12,20230802-19:40:54,129.69,129.71,400,2200,False,False
13,20230802-19:40:54,129.69,129.7,100,100,False,False
14,20230802-19:40:54,129.69,129.71,1500,2300,False,False
15,20230802-19:40:54,129.7,129.71,200,2500,False,False
16,20230802-19:40:54,129.71,129.71,200,100,False,False
17,20230802-19:40:54,129.71,129.72,2100,200,False,False
18,20230802-19:40:55,129.7,129.72,1900,1600,False,False
19,20230802-19:40:55,129.71,129.72,200,900,False,False
20,20230802-19:40:55,129.7,129.72,2100,900,False,False
21,20230802-19:40:55,129.71,129.72,200,900,False,False
22,20230802-19:40:55,129.72,129.73,100,200,False,False
23,20230802-19:40:55,129.71,129.73,1800,1000,False,False
24,20230802-19:40:55,129.72,129.73,800,1100,False,False
25,20230802-19:40:55,129.73,129.74,400,800,False,False
26,20230802-19:40:55,129.73,129.75,1500,1500,False,False
27,20230802-19:40:55,129.73,129.74,1000,100,False,False
28,20230802-19:40:55,129.73,129.75,1000,1300,False,False
29,20230802-19:40:55,129.73,129.74,900,100,False,False
30,20230802-19:40:55,129.73,129.75,900,1300,False,False
31,20230802-19:40:55,129.73,129.74,800,100,False,False
32,20230802-19:40:55,129.73,129.75,1000,1300,False,False
33,20230802-19:40:55,129.73,129.74,600,100,False,False
34,20230802-19:40:56,129.72,129.74,1500,700,False,False
35,20230802-19:40:56,129.72,129.73,200,400,False,False
36,20230802-19:40:56,129.72,129.74,1100,600,False,False
37,20230802-19:40:56,129.71,129.73,1700,400,False,False
38,20230802-19:40:56,129.72,129.73,100,100,False,False
39,20230802-19:40:56,129.72,129.74,1200,800,False,False
40,20230802-19:40:56,129.72,129.73,100,100,False,False
41,20230802-19:40:56,129.71,129.73,1500,300,False,False
42,20230802-19:40:57,129.71,129.72,100,100,False,False
43,20230802-19:40:57,129.7,129.72,1300,500,False,False
44,20230802-19:40:57,129.71,129.72,300,400,False,False
45,20230802-19:40:57,129.7,129.72,1400,100,False,False
46,20230802-19:40:57,129.7,129.71,800,200,False,False
47,20230802-19:40:57,129.7,129.72,900,900,False,False
48,20230802-19:40:57,129.7,129.71,600,300,False,False
49,20230802-19:40:57,129.7,129.72,600,1100,False,False
50,20230802-19:40:57,129.69,129.72,1000,1400,False,False
51,20230802-19:40:57,129.7,129.72,300,1300,False,False
52,20230802-19:40:57,129.7,129.71,100,100,False,False
53,20230802-19:40:57,129.69,129.71,1600,400,False,False
54,20230802-19:40:57,129.7,129.71,1300,100,False,False
55,20230802-19:40:57,129.7,129.72,2400,800,False,False
56,20230802-19:40:58,129.71,129.72,200,300,False,False
57,20230802-19:40:58,129.7,129.72,1800,500,False,False
58,20230802-19:40:58,129.69,129.71,1600,100,False,False
59,20230802-19:40:58,129.69,129.72,2000,1300,False,False
60,20230802-19:40:58,129.7,129.72,700,1200,False,False
61,20230802-19:40:58,129.7,129.71,100,200,False,False
62,20230802-19:40:58,129.69,129.71,1900,300,False,False
63,20230802-19:40:58,129.7,129.72,900,1000,False,False
64,20230802-19:40:58,129.69,129.71,1600,300,False,False
65,20230802-19:40:59,129.69,129.7,200,100,False,False
66,20230802-19:40:59,129.68,129.7,2300,600,False,False
67,20230802-19:40:59,129.69,129.7,100,300,False,False
68,20230802-19:40:59,129.68,129.7,2200,200,False,False
69,20230802-19:40:59,129.69,129.7,100,100,False,False
70,20230802-19:40:59,129.68,129.7,1600,600,False,False
71,20230802-19:40:59,129.69,129.7,300,400,False,False
72,20230802-19:40:59,129.68,129.7,2200,200,False,False
73,20230802-19:40:59,129.69,129.7,200,500,False,False
74,20230802-19:40:59,129.68,129.7,2200,600,False,False
75,20230802-19:40:59,129.69,129.7,100,100,False,False
76,20230802-19:41:00,129.7,129.71,1300,200,False,False
77,20230802-19:41:00,129.7,129.72,1800,1000,False,False
78,20230802-19:41:00,129.71,129.72,200,200,False,False
79,20230802-19:41:00,129.71,129.73,2100,700,False,False
80,20230802-19:41:00,129.72,129.73,500,300,False,False
81,20230802-19:41:00,129.72,129.74,800,1000,False,False
82,20230802-19:41:00,129.73,129.74,100,600,False,False
83,20230802-19:41:00,129.72,129.74,1900,600,False,False
84,20230802-19:41:00,129.72,129.73,300,500,False,False
85,20230802-19:41:00,129.71,129.73,1300,500,False,False
86,20230802-19:41:00,129.71,129.72,1300,100,False,False
87,20230802-19:41:00,129.72,129.73,100,1100,False,False
88,20230802-19:41:01,129.73,129.74,100,1400,False,False
89,20230802-19:41:01,129.72,129.74,1900,500,False,False
90,20230802-19:41:01,129.73,129.74,100,400,False,False
91,20230802-19:41:01,129.72,129.74,1700,600,False,False
92,20230802-19:41:01,129.72,129.73,900,100,False,False
93,20230802-19:41:01,129.71,129.73,1400,1400,False,False
94,20230802-19:41:01,129.7,129.72,1500,100,False,False
95,20230802-19:41:01,129.7,129.71,200,100,False,False
96,20230802-19:41:01,129.69,129.71,2000,200,False,False
97,20230802-19:41:01,129.69,129.72,2600,2300,False,False
98,20230802-19:41:01,129.69,129.71,2500,200,False,False
99,20230802-19:41:01,129.69,129.72,2500,2000,False,False
100,20230802-19:41:01,129.69,129.71,2500,100,False,False
101,20230802-19:41:01,129.7,129.72,100,2000,False,False
102,20230802-19:41:01,129.69,129.71,2300,100,False,False
103,20230802-19:41:01,129.7,129.72,600,1800,False,False
104,20230802-19:41:01,129.7,129.71,300,100,False,False
105,20230802-19:41:01,129.69,129.71,1900,400,False,False
106,20230802-19:41:02,129.7,129.72,1300,1800,False,False
107,20230802-19:41:02,129.71,129.72,100,700,False,False
108,20230802-19:41:02,129.71,129.73,500,1200,False,False
109,20230802-19:41:02,129.72,129.73,600,200,False,False
110,20230802-19:41:02,129.72,129.74,1200,2000,False,False
111,20230802-19:41:02,129.71,129.74,2100,2000,False,False
112,20230802-19:41:02,129.71,129.73,2200,100,False,False
113,20230802-19:41:02,129.72,129.73,200,300,False,False
114,20230802-19:41:02,129.72,129.74,2000,1900,False,False
115,20230802-19:41:02,129.73,129.74,100,2000,False,False
116,20230802-19:41:02,129.72,129.74,1700,2200,False,False
117,20230802-19:41:02,129.71,129.73,1500,500,False,False
118,20230802-19:41:02,129.72,129.73,400,1000,False,False
119,20230802-19:41:02,129.73,129.73,100,100,False,False
120,20230802-19:41:02,129.73,129.74,500,1500,False,False
121,20230802-19:41:02,129.73,129.73,200,200,False,False
122,20230802-19:41:02,129.72,129.73,1200,600,False,False
123,20230802-19:41:02,129.71,129.73,1200,1200,False,False
124,20230802-19:41:03,129.72,129.73,200,900,False,False
125,20230802-19:41:03,129.72,129.74,1200,1800,False,False
126,20230802-19:41:03,129.71,129.74,2000,2100,False,False
127,20230802-19:41:03,129.71,129.73,2100,300,False,False
128,20230802-19:41:03,129.72,129.73,200,600,False,False
129,20230802-19:41:03,129.71,129.73,2700,800,False,False
130,20230802-19:41:03,129.72,129.73,200,200,False,False
131,20230802-19:41:03,129.72,129.74,700,1800,False,False
132,20230802-19:41:03,129.71,129.74,2200,2600,False,False
133,20230802-19:41:03,129.71,129.73,2000,100,False,False
134,20230802-19:41:03,129.71,129.74,2100,1800,False,False
135,20230802-19:41:03,129.72,129.74,100,1800,False,False
136,20230802-19:41:03,129.71,129.74,2100,2100,False,False
137,20230802-19:41:03,129.72,129.74,1300,2200,False,False
138,20230802-19:41:03,129.71,129.73,1900,200,False,False
139,20230802-19:41:03,129.72,129.74,200,1800,False,False
140,20230802-19:41:03,129.73,129.74,100,1100,False,False
141,20230802-19:41:03,129.72,129.74,1300,800,False,False
142,20230802-19:41:03,129.72,129.73,1400,100,False,False
143,20230802-19:41:04,129.71,129.73,1200,900,False,False
144,20230802-19:41:04,129.72,129.73,300,100,False,False
145,20230802-19:41:04,129.72,129.74,1600,1400,False,False
146,20230802-19:41:04,129.73,129.74,200,700,False,False
147,20230802-19:41:04,129.72,129.74,1200,700,False,False
148,20230802-19:41:04,129.73,129.74,500,400,False,False
149,20230802-19:41:05,129.74,129.75,700,1100,False,False
150,20230802-19:41:05,129.73,129.75,2100,1100,False,False
151,20230802-19:41:05,129.74,129.75,500,600,False,False
152,20230802-19:41:05,129.73,129.75,2900,600,False,False
153,20230802-19:41:05,129.74,129.75,400,400,False,False
154,20230802-19:41:05,129.73,129.75,2700,300,False,False
155,20230802-19:41:05,129.74,129.75,400,200,False,False
156,20230802-19:41:05,129.73,129.75,2800,300,False,False
157,20230802-19:41:05,129.74,129.75,400,400,False,False
158,20230802-19:41:05,129.73,129.75,2400,700,False,False
159,20230802-19:41:05,129.74,129.75,200,600,False,False
160,20230802-19:41:05,129.73,129.75,2400,900,False,False
161,20230802-19:41:05,129.74,129.75,200,800,False,False
162,20230802-19:41:06,129.73,129.75,1700,200,False,False
163,20230802-19:41:06,129.74,129.75,100,200,False,False
164,20230802-19:41:06,129.73,129.75,1700,200,False,False
165,20230802-19:41:06,129.74,129.75,100,100,False,False
166,20230802-19:41:06,129.73,129.75,1700,100,False,False
167,20230802-19:41:06,129.74,129.75,100,100,False,False
168,20230802-19:41:06,129.73,129.75,1700,100,False,False
169,20230802-19:41:06,129.74,129.75,100,100,False,False
170,20230802-19:41:06,129.73,129.75,1700,100,False,False
171,20230802-19:41:06,129.74,129.75,200,1200,False,False
172,20230802-19:41:06,129.73,129.75,2400,1000,False,False
173,20230802-19:41:06,129.73,129.74,1300,100,False,False
174,20230802-19:41:06,129.74,129.75,400,1200,False,False
175,20230802-19:41:06,129.75,129.75,100,300,False,False
176,20230802-19:41:06,129.75,129.76,1300,500,False,False
177,20230802-19:41:06,129.74,129.76,1400,800,False,False
178,20230802-19:41:06,129.75,129.76,100,600,False,False
179,20230802-19:41:07,129.76,129.77,1000,400,False,False
180,20230802-19:41:07,129.75,129.77,1400,900,False,False
181,20230802-19:41:07,129.75,129.76,200,100,False,False
182,20230802-19:41:07,129.75,129.77,200,1500,False,False
183,20230802-19:41:08,129.75,129.76,100,100,False,False
184,20230802-19:41:08,129.75,129.77,100,1400,False,False
185,20230802-19:41:08,129.75,129.76,100,200,False,False
186,20230802-19:41:08,129.75,129.77,100,1400,False,False
187,20230802-19:41:08,129.75,129.76,100,100,False,False
188,20230802-19:41:08,129.75,129.77,100,1500,False,False
189,20230802-19:41:08,129.75,129.76,100,100,False,False
190,20230802-19:41:08,129.75,129.77,200,1400,False,False
